n_components,C,gamma,val_score,train_time_s,score_time_s,total_time_s
10,0.1,scale,0.611875,39.77712059998885,11.68797959992662,51.46510019991547
10,0.1,0.0001,0.54578125,49.11491170001682,13.181517499964684,62.2964291999815
10,0.1,0.001,0.62609375,39.22593730001245,12.581444500014186,51.80738180002663
10,0.1,0.01,0.58875,50.042593399994075,12.744495099992491,62.78708849998657
10,0.1,0.1,0.2365625,82.00239869998768,14.399642499978654,96.40204119996633
10,1.0,scale,0.65828125,34.5454625999555,10.2183081000112,44.7637706999667
10,1.0,0.0001,0.62375,37.71893580001779,11.91068470000755,49.62962050002534
10,1.0,0.001,0.6671875,41.065744199906476,10.38121600006707,51.446960199973546
10,1.0,0.01,0.6634375,43.033646000083536,11.044831999926828,54.078478000010364
10,1.0,0.1,0.42171875,89.78106599999592,14.97662259999197,104.75768859998789
10,10.0,scale,0.68359375,40.037265199935064,9.670899500022642,49.708164699957706
10,10.0,0.0001,0.64796875,37.65822450001724,10.324089899891987,47.98231439990923
10,10.0,0.001,0.6875,36.20692639995832,9.225854000076652,45.43278040003497
10,10.0,0.01,0.64359375,56.48411950003356,11.50978419999592,67.99390370002948
10,10.0,0.1,0.4440625,87.64385150000453,14.417045900016092,102.06089740002062
10,20.0,scale,0.6865625,41.94230679993052,9.677778200013563,51.62008499994408
10,20.0,0.0001,0.65859375,42.40923059999477,10.585795699968003,52.995026299962774
10,20.0,0.001,0.68609375,35.104164300020784,10.193909899913706,45.29807419993449
10,20.0,0.01,0.63765625,55.28839840006549,11.760117799974978,67.04851620004047
10,20.0,0.1,0.44375,91.07964709994849,14.730351899983361,105.80999899993185
15,0.1,scale,0.61671875,41.996120500029065,12.48926299996674,54.485383499995805
15,0.1,0.0001,0.54890625,57.27591379999649,15.156206000014208,72.4321198000107
15,0.1,0.001,0.628125,46.97738970001228,14.450527200009674,61.427916900021955
15,0.1,0.01,0.54609375,56.01707159995567,13.645015400019474,69.66208699997514
15,0.1,0.1,0.21171875,98.67021559993736,17.639525400009006,116.30974099994637
15,1.0,scale,0.66640625,41.598657199996524,11.869669100036845,53.46832630003337
15,1.0,0.0001,0.62203125,46.79059380001854,14.159626500098966,60.95022030011751
15,1.0,0.001,0.67921875,42.89163450000342,11.779975199955516,54.671609699958935
15,1.0,0.01,0.6384375,61.38630759995431,12.150524499942549,73.53683209989686
15,1.0,0.1,0.32796875,108.77417059999425,15.456368000013754,124.230538600008
15,10.0,scale,0.69,40.109253700007685,10.53665279992856,50.645906499936245
15,10.0,0.0001,0.65703125,39.24207190005109,11.515892999945208,50.757964899996296
15,10.0,0.001,0.6865625,23.695125699974597,10.087365000043064,33.78249070001766
15,10.0,0.01,0.631875,50.54529839998577,12.717470200033858,63.262768600019626
15,10.0,0.1,0.349375,85.00261739990674,15.062577300006524,100.06519469991326
15,20.0,scale,0.68875,25.980309199891053,10.000742500065826,35.98105169995688
15,20.0,0.0001,0.66703125,25.379950699978508,11.24821309989784,36.62816379987635
15,20.0,0.001,0.6840625,29.331580800004303,9.791176300030202,39.122757100034505
15,20.0,0.01,0.62578125,53.28524570004083,12.628545799991116,65.91379150003195
15,20.0,0.1,0.34984375,93.53307150001638,13.85258030006662,107.385651800083
25,0.1,scale,0.6175,45.09201819996815,36.47475469997153,81.56677289993968
25,0.1,0.0001,0.55109375,45.82529189996421,15.160654200008139,60.98594609997235
25,0.1,0.001,0.628125,42.883132399991155,12.858820799971,55.741953199962154
25,0.1,0.01,0.49375,71.4973697999958,12.98872050002683,84.48609030002262
25,0.1,0.1,0.20640625,98.80347229994368,13.93643310002517,112.73990539996885
25,1.0,scale,0.66984375,33.872220500023104,11.23869599995669,45.110916499979794
25,1.0,0.0001,0.6284375,41.326713400078006,13.149752199999057,54.47646560007706
25,1.0,0.001,0.68359375,32.60844550002366,11.38512620003894,43.9935717000626
25,1.0,0.01,0.599375,64.58755049994215,12.790416999952868,77.37796749989502
25,1.0,0.1,0.25796875,107.58856289996766,13.034367099986412,120.62292999995407
25,10.0,scale,0.69,33.158538099960424,10.756731100031175,43.9152691999916
25,10.0,0.0001,0.6621875,31.462893999996595,11.787127999938093,43.25002199993469
25,10.0,0.001,0.68484375,32.889581000083126,11.304440900101326,44.19402190018445
25,10.0,0.01,0.600625,76.73883199994452,11.62078710005153,88.35961909999605
25,10.0,0.1,0.27078125,99.5469049999956,12.569967700052075,112.11687270004768
25,20.0,scale,0.685,29.91185819997918,11.163957500015385,41.075815699994564
25,20.0,0.0001,0.6696875,30.00543280004058,11.566398499999195,41.571831300039776
25,20.0,0.001,0.6815625,36.76601290004328,10.713073799968697,47.479086700011976
25,20.0,0.01,0.59796875,73.02819810004439,28.6001839999808,101.62838210002519
25,20.0,0.1,0.27,98.2371752000181,11.74557020002976,109.98274540004786
50,0.1,scale,0.61515625,47.397628799895756,13.699281500070356,61.09691029996611
50,0.1,0.0001,0.55015625,65.01428569993004,13.257237100042403,78.27152279997244
50,0.1,0.001,0.61890625,51.719479999970645,12.779607799951918,64.49908779992256
50,0.1,0.01,0.40765625,81.70236939995084,12.705203099991195,94.40757249994203
50,0.1,0.1,0.2009375,98.3679589999374,13.5224228000734,111.8903818000108
50,1.0,scale,0.66890625,34.14777080004569,11.801327000022866,45.94909780006856
50,1.0,0.0001,0.63,39.939536900026724,12.603002200019546,52.54253910004627
50,1.0,0.001,0.67609375,43.59328839997761,11.679681200068444,55.27296960004605
50,1.0,0.01,0.52953125,83.08527909999248,11.951362700085156,95.03664180007763
50,1.0,0.1,0.2253125,98.50814980000723,11.961051400052384,110.46920120005962
50,10.0,scale,0.67796875,39.46079599997029,10.96689019992482,50.427686199895106
50,10.0,0.0001,0.66296875,37.37117659999058,11.434919000021182,48.80609560001176
50,10.0,0.001,0.676875,41.890743900090456,11.42533330002334,53.316077200113796
50,10.0,0.01,0.540625,87.41842599993106,12.143523900071159,99.56194990000222
50,10.0,0.1,0.22859375,100.85714440001175,12.339267499977723,113.19641189998947
50,20.0,scale,0.66890625,39.40555929997936,10.873651399975643,50.279210699955
50,20.0,0.0001,0.66890625,35.38500800007023,11.046321599977091,46.43132960004732
50,20.0,0.001,0.67640625,40.221496299956925,10.752215999993496,50.97371229995042
50,20.0,0.01,0.5390625,81.68236730003264,12.020811000023969,93.7031783000566
50,20.0,0.1,0.22890625,91.53162800008431,11.421893899911083,102.9535218999954
